Statement,Country,"% of respondents that ""agree"" with statement"
My job,Italy,32%
The economy in my country,Italy,29%
The job market,Italy,30%
The amount of time it takes me to get things done,Japan,33%
"My entertainment options (television/video content, movies, music, books)",Japan,33%
My health,Japan,16%
My job,Japan,19%
The economy in my country,Japan,22%
The job market,Japan,22%
The amount of time it takes me to get things done,Malaysia,62%
"My entertainment options (television/video content, movies, music, books)",Malaysia,57%
My health,Malaysia,49%
My job,Malaysia,47%
The economy in my country,Malaysia,50%
The job market,Malaysia,39%
The amount of time it takes me to get things done,Mexico,68%
"My entertainment options (television/video content, movies, music, books)",Mexico,68%
My health,Mexico,61%
My job,Mexico,52%
The economy in my country,Mexico,48%
The job market,Mexico,54%
The amount of time it takes me to get things done,Netherlands,55%
"My entertainment options (television/video content, movies, music, books)",Netherlands,50%
My health,Netherlands,30%
My job,Netherlands,25%
The economy in my country,Netherlands,27%
The job market,Netherlands,23%
The amount of time it takes me to get things done,New Zealand,50%
"My entertainment options (television/video content, movies, music, books)",New Zealand,47%
My health,New Zealand,31%
My job,New Zealand,30%
The economy in my country,New Zealand,28%
The job market,New Zealand,22%
The amount of time it takes me to get things done,Peru,70%
"My entertainment options (television/video content, movies, music, books)",Peru,71%
My health,Peru,55%
My job,Peru,56%
The economy in my country,Peru,46%
The job market,Peru,54%
The amount of time it takes me to get things done,Poland,48%
"My entertainment options (television/video content, movies, music, books)",Poland,40%
My health,Poland,23%
My job,Poland,30%
The economy in my country,Poland,29%
The job market,Poland,26%
The amount of time it takes me to get things done,Romania,51%
"My entertainment options (television/video content, movies, music, books)",Romania,46%
My health,Romania,43%
My job,Romania,30%
The economy in my country,Romania,34%
The job market,Romania,33%
The amount of time it takes me to get things done,Singapore,64%
"My entertainment options (television/video content, movies, music, books)",Singapore,57%
My health,Singapore,40%
My job,Singapore,41%
The economy in my country,Singapore,50%
The job market,Singapore,37%
The amount of time it takes me to get things done,South Africa,71%
"My entertainment options (television/video content, movies, music, books)",South Africa,66%
My health,South Africa,49%
My job,South Africa,51%
The economy in my country,South Africa,39%
The job market,South Africa,38%
The amount of time it takes me to get things done,South Korea,61%
"My entertainment options (television/video content, movies, music, books)",South Korea,54%
My health,South Korea,38%
My job,South Korea,23%
The economy in my country,South Korea,34%
The job market,South Korea,17%
The amount of time it takes me to get things done,Spain,48%
"My entertainment options (television/video content, movies, music, books)",Spain,51%
My health,Spain,33%
My job,Spain,27%
The economy in my country,Spain,25%
The job market,Spain,23%
The amount of time it takes me to get things done,Sweden ,38%
"My entertainment options (television/video content, movies, music, books)",Sweden ,37%
My health,Sweden ,25%
My job,Sweden ,28%
The economy in my country,Sweden ,21%
The job market,Sweden ,21%
The amount of time it takes me to get things done,Thailand,71%
"My entertainment options (television/video content, movies, music, books)",Thailand,68%
My health,Thailand,56%
My job,Thailand,66%
The economy in my country,Thailand,62%
The job market,Thailand,53%
The amount of time it takes me to get things done,Turkey,62%
"My entertainment options (television/video content, movies, music, books)",Turkey,60%
My health,Turkey,47%
My job,Turkey,47%
The economy in my country,Turkey,39%
The job market,Turkey,50%
The amount of time it takes me to get things done,United States,46%
"My entertainment options (television/video content, movies, music, books)",United States,40%
My health,United States,32%
My job,United States,28%
The economy in my country,United States,23%
The job market,United States,21%
