login,discovery_method,first_marker_date,marker_type,marker_confidence
bonnaudc,commit_search_aider,2026-03-29T12:05:34.000+02:00,aider_coauthor: aider email (2026+),high
xiphux,commit_search_aider,2026-03-27T20:37:24.000-05:00,aider_coauthor: aider email (2026+),high
charis-algomo,commit_search_aider,2026-03-14T19:00:33.000+02:00,aider_coauthor: aider email (2026+),high
T3CHW1ZRD,commit_search_aider,2026-03-14T07:31:52.000-04:00,aider_coauthor: aider email (2026+),high
gididream,commit_search_aider,2026-03-25T20:36:25.000+02:00,aider_coauthor: aider email (2026+),high
RobotDisco,commit_search_aider,2026-03-24T01:38:15.000-04:00,aider_coauthor: aider email (2026+),high
marsmike,commit_search_aider,2026-02-28T12:45:30.000+01:00,aider_coauthor: aider email (2026+),high
Sultan57git,commit_search_aider,2026-02-18T11:27:43.000+06:00,aider_coauthor: aider email (2026+),high
claude,commit_search_aider,2026-03-18T07:28:12.000Z,aider_coauthor: aider email (2026+),high
roshbhatia,commit_search_aider,2026-03-27T10:32:48.000-07:00,aider_coauthor: aider email (2026+),high
Junseop-Shin,commit_search_aider,2026-02-20T17:19:28.000+09:00,aider_coauthor: aider email (2026+),high
djm204,commit_search_aider,2026-03-09T07:06:09.000-05:00,aider_coauthor: aider email (2026+),high
cypl0x,commit_search_aider,2026-03-01T05:47:10.000+01:00,aider_coauthor: aider email (2026+),high
jasonwc,commit_search_aider,2026-02-27T23:38:39.000-08:00,aider_coauthor: aider email (2026+),high
ybedfer,commit_search_aider,2026-03-18T14:50:30.000Z,aider_coauthor: aider email (2026+),high
akillies,commit_search_aider,2026-03-21T21:53:47.000-07:00,aider_coauthor: aider email (2026+),high
GGPrompts,commit_search_aider,2026-03-05T21:14:52.000-05:00,aider_coauthor: aider email (2026+),high
sbangalore,commit_search_aider,2026-03-09T12:05:53.000-04:00,aider_coauthor: aider email (2026+),high
kdy1,commit_search_aider,2026-02-03T01:21:01.000Z,aider_coauthor: aider email (2026+),high
randalmurphal,commit_search_aider,2026-01-11T14:58:35.000-06:00,aider_coauthor: aider email (2026+),high
movito,commit_search_aider,2026-02-09T21:55:19.000+01:00,aider_coauthor: aider email (2026+),high
fsgeek,commit_search_aider,2026-03-20T12:32:37.000-07:00,aider_coauthor: aider email (2026+),high
JianouJiangOxford,commit_search_aider,2026-02-28T08:44:59.000Z,aider_coauthor: aider email (2026+),high
jwiegley,commit_search_aider,2026-03-17T13:35:13.000-07:00,aider_coauthor: aider email (2026+),high
mikkihugo,commit_search_aider,2026-01-10T00:30:55.000+01:00,aider_coauthor: aider email (2026+),high
Ernestop11,commit_search_aider,2026-01-04T22:29:13.000-08:00,aider_coauthor: aider email (2026+),high
mircial,commit_search_aider,2026-03-07T16:13:39.000+08:00,aider_coauthor: aider email (2026+),high
wenshao,commit_search_aider,2026-03-25T18:11:00.000+08:00,aider_coauthor: aider email (2026+),high
pestopoppa,commit_search_aider,2026-01-16T09:00:48.000+01:00,aider_coauthor: aider email (2026+),high
