login,repo,marker_found
elbrink,elbrink/agent_walkthrough,True
Ghosty61,Ghosty61/HPP_Final_MVP,True
reedrich12,reedrich12/american-faith-academy-website,True
reedrich12,reedrich12/AEI-CoT,True
ricklkiwi,ricklkiwi/WalkTheUniverse,True
ricklkiwi,ricklkiwi/TechWithTim,True
shegge-stack,shegge-stack/gardenDesigner,True
yuwen773,yuwen773/diff-check,True
yuwen773,yuwen773/namagement-system,True
johnwinston,johnwinston/melee,True
gonzalezpazmonica,gonzalezpazmonica/dotnet-microservices-home-lab,True
gonzalezpazmonica,gonzalezpazmonica/pm-workspace,True
gonzalezpazmonica,gonzalezpazmonica/claude-code-templates,True
anchildress1,anchildress1/checkmark-icons,True
anchildress1,anchildress1/awesome-github-copilot,True
ldthorson90,ldthorson90/salesforce-claude-workspace,True
lmnop-95,lmnop-95/mopl-backend,True
jefho-rh,jefho-rh/odh-dashboard,True
jasperdenouden92,jasperdenouden92/spie-pulse-4,True
jasperdenouden92,jasperdenouden92/rdj-markt-prototype,True
jasperdenouden92,jasperdenouden92/praktijkdata-exploration,True
mablahblah,mablahblah/job-assistant,True
kirinnokubinagai,kirinnokubinagai/mcp-design-reference,True
kirinnokubinagai,kirinnokubinagai/mcp-gateway,True
awmloveland,awmloveland/BootRoom,True
yAtomtom,yAtomtom/dotfiles,True
tomobou,tomobou/react-number-place,True
tomobou,tomobou/react-calc-quiz,True
irohafox,irohafox/kit,True
irohafox,irohafox/prisma,True
glittercowboy,glittercowboy/plugin-freedom-system,True
glittercowboy,glittercowboy/discord-mcp,True
gawbul,gawbul/pyEnsemblRest,True
gawbul,gawbul/pathlength,True
messi18122022,messi18122022/lineup-creator,True
RichardHruby,RichardHruby/browser-brawl,True
imwra,imwra/drizzle-cube,True
imwra,imwra/plantgotchi,True
manwithacat,manwithacat/DashSpec,True
manwithacat,manwithacat/dazzle,True
aboydnw,aboydnw/pixel-canvas,True
romaindeseine,romaindeseine/pearcut,True
zhousiyao03-cyber,zhousiyao03-cyber/neovate-code,True
zhousiyao03-cyber,zhousiyao03-cyber/nanobrowser,True
zhousiyao03-cyber,zhousiyao03-cyber/ai-note,True
zhousiyao03-cyber,zhousiyao03-cyber/second-brain,True
zhousiyao03-cyber,zhousiyao03-cyber/baby-tracker,True
marvymarv79,marvymarv79/obscura,True
corvid-agent,corvid-agent/swift-algochat,True
yaronmolho1,yaronmolho1/Expense-tracker,True
yaronmolho1,yaronmolho1/claude-skills-and-workflows,True
yaronmolho1,yaronmolho1/fitness-app,True
Lskyz,Lskyz/web,True
Lskyz,Lskyz/Bullpen,True
Lskyz,Lskyz/LL,True
tobsai,tobsai/agent-portal,True
tobsai,tobsai/inksight,True
tobsai,tobsai/fort,True
xsyetopz,xsyetopz/easel.js,True
xsyetopz,xsyetopz/JagFx,True
Rhodri-Morgan,Rhodri-Morgan/polymarket-discord-bot,True
Rhodri-Morgan,Rhodri-Morgan/github-workflows,True
yaimgod,yaimgod/open-notebook,True
matsuokashuhei,matsuokashuhei/dotfiles,True
anibalinbalin,anibalinbalin/LauraCV,True
vqcoder,vqcoder/NeuroEngine,True
vqcoder,vqcoder/brand-ad-intelligence,True
qwertz111,qwertz111/responzai-verifier,True
anthony-spruyt,anthony-spruyt/esphome,True
anthony-spruyt,anthony-spruyt/spruyt-labs,True
saulmc,saulmc/libxmtp,True
Fishy49,Fishy49/supertextadventure,True
mfaulhaber,mfaulhaber/claude-spec-bot,True
mfaulhaber,mfaulhaber/gmail-agent,True
mfaulhaber,mfaulhaber/attractor,True
mfaulhaber,mfaulhaber/humpback-acoustic-embed,True
mfaulhaber,mfaulhaber/xstretch,True
kswift1,kswift1/Promiso,True
malbrnd,malbrnd/actual-budget-mcp,True
Ktulue,Ktulue/HypeControl,True
Ktulue,Ktulue/KtulueKit-W11,True
SerjRs,SerjRs/Scaff,True
jeffbNoUI,jeffbNoUI/noui-derp-poc,True
jeffbNoUI,jeffbNoUI/noui-platform,True
stephenstanwood,stephenstanwood/stanwood.dev,True
stephenstanwood,stephenstanwood/southbaysignal.org,True
ashitaka-emishi,ashitaka-emishi/lob-online,True
dug-21,dug-21/neural-data-platform,True
dug-21,dug-21/doc-rag,True
dug-21,dug-21/my-research,True
dug-21,dug-21/claude-flow,True
n3wth,n3wth/r3,True
n3wth,n3wth/n3wth,True
n3wth,n3wth/skills,True
n3wth,n3wth/ui,True
pgollucci,pgollucci/loom,True
camyyssa,camyyssa/cv,True
Royyyylin,Royyyylin/ble_qos_app,True
benpeter,benpeter/schamdan,True
benpeter,benpeter/llm,True
edwarddgao,edwarddgao/just-apply,True
nicolomanni,nicolomanni/dreamweaverstudio,True
davidtaikocha,davidtaikocha/taiko-mono,True
Vossryn,Vossryn/dev-tools,True
Vossryn,Vossryn/night-city-stock-exchange,True
FenXiCloud,FenXiCloud/n8n,True
gxiGpf,gxiGpf/harfbuzz,True
BG-SoftWare,BG-SoftWare/twenty_crm,True
zehjotkah,zehjotkah/rybbit,True
vgrozdanic,vgrozdanic/pg-locks,True
Sqap85,Sqap85/Tekno-Alumil-Site,True
Sqap85,Sqap85/MacroMate,True
ptalgulk01,ptalgulk01/release,True
VaelVictus,VaelVictus/vaelvict.us,True
VictorNain26,VictorNain26/portfolio_site,True
VictorNain26,VictorNain26/linkhub,True
VictorNain26,VictorNain26/mini-trello,True
VictorNain26,VictorNain26/GBA_Festival_site,True
ryanwclark1,ryanwclark1/nixos-config,True
ryanwclark1,ryanwclark1/dotfiles,True
Vanshpahwa23,Vanshpahwa23/agentcamp-workshop-langchain,True
franklywatson,franklywatson/agentic-patterns,True
